pid,season,half,stuffRaw,stuffN
472551,2021,full,-0.0059230183,299
472551,2021,A,-0.005260656,173
472551,2021,B,-0.006832452,126
676265,2021,full,-0.0036729723,352
676265,2021,A,-0.0031415746,213
676265,2021,B,-0.004487272,139
656061,2021,full,0.0017922549,642
656061,2021,A,0.0018478014,326
656061,2021,B,0.0017349509,316
650556,2021,full,0.0025609173,689
650556,2021,A,0.0011612885,369
650556,2021,B,0.0041748644,320
642758,2021,full,-0.004631389,174
642758,2021,A,-0.004163822,97
642758,2021,B,-0.0052204006,77
592094,2021,full,-0.0034264268,218
592094,2021,A,-0.0032320237,125
592094,2021,B,-0.0036877214,93
613534,2021,full,0.0051642396,961
613534,2021,A,0.00457388,533
613534,2021,B,0.005899431,428
672851,2021,full,-0.0050524888,94
672851,2021,A,-0.0050524888,94
620396,2021,full,-0.0016886861,104
620396,2021,A,-0.0018822767,66
620396,2021,B,-0.0013524502,38
669211,2021,full,-0.0007148295,1768
669211,2021,A,-0.0005036301,876
669211,2021,B,-0.00092224084,892
595798,2021,full,-0.001649466,71
595798,2021,A,-0.0016064533,45
595798,2021,B,-0.0017239111,26
452027,2021,full,-0.0044269306,365
452027,2021,A,-0.0038378616,179
452027,2021,B,-0.004993831,186
660896,2021,full,0.0028326146,869
660896,2021,A,0.002221173,464
660896,2021,B,0.0035331305,405
645261,2021,full,0.0032755674,3094
645261,2021,A,0.0033058869,1567
645261,2021,B,0.003244454,1527
642727,2021,full,-0.0009126996,4
642727,2021,A,-0.0009126996,4
518397,2021,full,-0.0024004886,259
518397,2021,A,-0.0034539516,150
518397,2021,B,-0.00095076975,109
641302,2021,full,-0.0013480942,1640
641302,2021,A,-0.00082631665,928
641302,2021,B,-0.002028164,712
669935,2021,full,-0.0036491435,424
669935,2021,A,-0.0037798216,256
669935,2021,B,-0.0034500149,168
663465,2021,full,-0.0048285215,2053
663465,2021,A,-0.004568968,1028
663465,2021,B,-0.005088834,1025
663531,2021,full,-0.0043462575,874
663531,2021,A,-0.004691062,396
663531,2021,B,-0.004060604,478
680430,2021,full,-0.0005357165,14
680430,2021,A,-0.0005357165,14
622075,2021,full,-0.0030165673,869
622075,2021,A,-0.0022709055,416
622075,2021,B,-0.0037013248,453
656186,2021,full,0.007677197,22
656186,2021,A,0.008991433,5
656186,2021,B,0.0072906576,17
621237,2021,full,0.0019612007,1045
621237,2021,A,0.0009402789,557
621237,2021,B,0.0031264746,488
501625,2021,full,-0.0023874564,970
501625,2021,A,-0.0029765123,482
501625,2021,B,-0.001805643,488
640470,2021,full,-6.8072773e-06,1955
640470,2021,A,-0.00082486315,952
640470,2021,B,0.0007696525,1003
474463,2021,full,-0.009832735,1491
