feature,coverage,reliability_r,stabilize_n,pred_split_r,pred_yoy_r,n_split,n_pairs,r_S,r_Y,combined,gain
condEntropy,1.0,0.9818011410544405,12.90410425885536,-0.24420312042244569,-0.27909280869103176,4202,898,0.5225984987520923,0.5851454070872973,0.5538719529196948,0.005245752097084777
entropyBehind,1.0,0.9525893565624417,34.64793544362809,-0.22212294659025547,-0.2570926502380923,4199,898,0.5215959470428595,0.5841976003479806,0.55289677369542,0.0042705728728099634
entropyAhead,1.0,0.9696582097395807,21.783605331556572,-0.2366444838545866,-0.2850972786196413,4202,898,0.5200071989583344,0.5857345954030011,0.5528708971806677,0.004244696358057687
repeatRate,1.0,0.9490262215394987,37.39175520733467,0.21415070205198478,0.29144342537161644,4202,898,0.5199528623299697,0.5872799676190105,0.5536164149744901,0.004990214151880057
transEntropy,1.0,0.9809071471410112,13.550339097853302,-0.2380814703689638,-0.28894223185623663,4202,898,0.5212913454659097,0.5864692469481642,0.5538802962070369,0.005254095384426893
fbAfterFb,1.0,0.9348289469981143,48.532182626616304,0.034401573328743225,0.002805129290997638,4194,898,0.5172946937717561,0.5802477021122936,0.5487711979420249,0.00014499711941484694
mixOptimality,0.9109742441209406,0.17058652375902783,3384.8046206003723,0.04537266788096998,0.0033279326843982547,3376,828,0.514151614339731,0.5822426268376191,0.5481971205886751,-0.0004290802339349531
veloSlope,1.0,0.7820374559443366,194.02672399377457,0.20870262767214176,0.2323701279534433,4202,898,0.5223887659411667,0.5811355258885629,0.5517621459148647,0.003135945092254677
veloTTO,0.5218365061590146,0.7943072989534619,180.2758552907007,0.10364078239393491,0.04224755097333552,1529,542,0.5148265416975265,0.5785669033943562,0.5466967225459414,-0.0019294782766686724
xrvSlope,1.0,0.12777962322390635,4751.949997043801,0.09449005167148536,0.2033193587970395,4202,898,0.5140065637802802,0.583483681850313,0.5487451228152966,0.00011892199268659365
xrvTTO,0.5218365061590146,-0.007746234067811845,,0.03664535663236491,-0.0014432071185605604,1529,542,0.5143514988363882,0.5824599565755879,0.548405727705988,-0.00022047311662198865
earlyLateXrv,0.5475923852183651,0.040946955051931924,16305.279722045496,0.05090442398952994,0.0027115617387128313,1871,558,0.514461831883863,0.582806195333474,0.5486340136086685,7.812786058436494e-06
