Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",133,584,471,132,70,23,1,38,97,105,102,13,149,6,5,0,19,6,2,0.280255,0.174658,0.255137,0.684564,0.410959,0.575372,0.412337,0.98633,0.295117,3.53741,0.32526,,-0.708311,116.079,47.075,169.716,-0.708311,4.7,47.27797144651413,-1.7373900413513184,6.71653,999,,,,,,,1027.6,7.726315789,1027.6,7.726315789,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Cal Raleigh","SEA",152,621,536,122,62,22,0,38,81,102,76,7,172,5,4,0,9,6,2,0.227612,0.122383,0.276973,0.44186,0.326892,0.481343,0.343643,0.808235,0.253731,2.90081,0.254545,,-0.516862,88.7982,15.4222,127.798,-0.516862,9.1,19.829159319400787,20.5087308883667,6.31457,999,,,,,,,817,5.375,817,5.375,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Bobby Witt Jr.","KCR",152,656,593,169,99,37,7,26,98,93,50,8,111,6,7,0,5,29,8,0.284992,0.0762195,0.169207,0.45045,0.342988,0.50253,0.356665,0.845517,0.217538,6.85083,0.308855,,1.55342,100.738,23.227,127.22,1.55342,7.3,22.599289059638977,14.531040668487549,6.10968,999,,,,,,,945.7,6.221710526,945.7,6.221710526,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",152,693,591,165,85,29,5,46,131,125,93,6,168,5,4,0,16,25,4,0.279188,0.134199,0.242424,0.553571,0.379509,0.57868,0.4028,0.95819,0.299492,6.91026,0.312336,,2.19343,132.379,50.4952,162.026,2.19343,0,53.13805651664734,-17.5,6.00445,999,,,,,,,1208.3,7.949342105,1208.3,7.949342105,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",152,666,529,142,81,24,1,36,108,100,129,14,114,3,4,1,8,20,3,0.268431,0.193694,0.171171,1.13158,0.41203,0.521739,0.396529,0.933769,0.253308,4.76287,0.276762,,1.45771,123.83,45.1367,160.521,1.45771,-7.2,49.230034708976746,-14.541269779205322,5.81545,999,,,,,,,1105.5,7.273026315,1105.5,7.273026315,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",152,663,601,163,103,29,2,29,96,99,50,12,144,10,2,0,4,25,6,0.271215,0.0754148,0.217195,0.347222,0.33635,0.470882,0.342467,0.807232,0.199667,5.66337,0.311628,,1.54604,94.171,15.8324,126.988,1.54604,6.4,22.635238528251648,8.836067199707031,5.55535,999,,,,,,,890.6,5.859210526,890.6,5.859210526,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152,647,571,155,92,31,6,26,96,88,66,6,134,6,4,0,3,20,4,0.271454,0.102009,0.20711,0.492537,0.35085,0.483363,0.356151,0.834213,0.211909,6.44297,0.310843,,1.31887,99.0866,22.6386,131.328,1.31887,-2.2,25.208137035369873,4.931833982467651,5.36278,999,,,,,,,908.3,5.975657894,908.3,5.975657894,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Wyatt Langford","TEX",150,627,545,147,84,30,3,30,93,93,73,7,135,5,4,0,3,20,5,0.269725,0.116427,0.215311,0.540741,0.358852,0.500917,0.365814,0.859769,0.231193,5.45213,0.304688,,0.929154,100.943,26.8577,137.945,0.929154,8.7,28.970137119293213,1.7886242866516113,5.35564,999,,,,,,,922.3,6.148666666,922.3,6.148666666,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Fernando Tatis Jr.","SDP",148,643,561,152,93,29,2,28,101,85,74,11,125,6,2,0,4,22,6,0.270945,0.115086,0.194401,0.592,0.360809,0.479501,0.358359,0.84031,0.208556,5.44292,0.302439,,0.873425,99.6267,23.6513,134.811,0.873425,9.3,27.402790427207947,2.2122578620910645,5.21808,999,,,,,,,913.9,6.175,913.9,6.175,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Corbin Carroll","ARI",152,660,572,148,80,28,12,28,114,92,71,5,141,10,5,2,3,32,6,0.258741,0.107576,0.213636,0.503546,0.348024,0.496504,0.359216,0.844528,0.237762,8.3429,0.294118,,2.91303,102.72,24.7357,130.675,2.91303,6.9,26.908520221710205,-0.37513208389282227,4.96064,999,,,,,,,956.6,6.293421052,956.6,6.293421052,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
