Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",12,6,,2.78453,29,29,,,,181,721,149,60,56,17,32,0,6,210,10.442,1.59116,6.5625,0.845304,0.291262,0.0443828,0.24687934666872025,0.218155,1,0.289474,0.76972,,,2.66552,5.70542,5.52605,999,,,,,,,1048.9,5.795027624309393,990,5.469613259668508,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",12,7,,2.83957,33,33,,,,187,743,149,63,59,17,43,0,6,203,9.77005,2.06952,4.72093,0.818182,0.273217,0.0578735,0.21534320712089539,0.214697,1.02674,0.278481,0.766944,,,2.93193,5.07163,5.90274,999,,,,,,,1046.3000000000002,5.595187165775402,973,5.2032085561497325,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13,6,,3.04241,27,27,,,,162.7,672,143,59,55,17,41,1,4,189,10.4548,2.26798,4.60976,0.940381,0.28125,0.0610119,0.220238097012043,0.22807,1.13092,0.299287,0.780275,,,2.99992,4.36447,4.61838,999,,,,,,,866.0799774169923,5.323171442298847,835.4999847412109,5.1352181955295215,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13,9,,3.27634,28,28,,,,181.3,754,173,71,66,15,38,1,4,163,8.09156,1.88638,4.28947,0.744622,0.21618,0.0503979,0.16578249260783195,0.242978,1.16382,0.29588,0.736842,,,3.10756,4.07528,4.25973,999,,,,,,,907.3200225830078,5.004522930559381,911.5000152587891,5.0275785985429495,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Yoshinobu Yamamoto","LAD",12,7,,3.49727,26,26,,,,164.7,654,132,68,64,19,40,0,4,170,9.28962,2.18579,4.25,1.03825,0.259939,0.0611621,0.1987767554819584,0.216393,1.04432,0.268409,0.715268,,,3.37193,3.75143,3.61418,999,,,,,,,849.8799774169922,5.160169964569406,784.4999847412109,4.763205824391995,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Cristopher Sánchez","PHI",9,6,,3.44262,27,27,,,,164.7,688,156,67,63,16,38,0,5,153,8.36066,2.0765,4.02632,0.874317,0.222384,0.0552326,0.16715116426348686,0.24186,1.1779,0.294118,0.740093,,,3.32336,3.64045,3.88175,999,,,,,,,793.3799774169923,4.81712199221422,792.4999847412109,4.811778988619277,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Hunter Brown","HOU",12,7,,3.15304,28,26,,,,162.7,672,138,61,57,16,51,0,6,167,9.23786,2.82114,3.27451,0.885065,0.248512,0.0758929,0.1726190522313118,0.22439,1.16165,0.282407,0.768307,,,3.41172,3.37198,4.03546,999,,,,,,,811.3799774169922,4.986969837959536,768.4999847412109,4.723417327325978,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Hunter Greene","CIN",9,6,,3.74752,26,26,,,,151.3,609,117,67,63,19,43,0,14,166,9.87442,2.55783,3.86047,1.1302,0.272578,0.0706076,0.2019704505801201,0.211957,1.0575,0.26703,0.697151,,,3.70354,3.29709,3.19625,999,,,,,,,742.7200225830077,4.908922720437306,670.5000152587891,4.431592873328757,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Dylan Cease","TOR",10,7,,3.74752,27,27,,,,151.3,635,131,67,63,18,54,1,4,166,9.87442,3.21216,3.07407,1.07072,0.261417,0.0850394,0.17637795954942703,0.227036,1.22274,0.287532,0.738423,,,3.63745,3.10347,2.62019,999,,,,,,,715.6200225830077,4.729808381683926,680.5000152587891,4.497686725267274,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Bryan Woo","SEA",11,7,,3.3526,26,25,,,,155.7,620,131,62,58,19,30,1,7,152,8.78613,1.7341,5.06667,1.09827,0.245161,0.0483871,0.1967741996049881,0.2247,1.03404,0.271845,0.736607,,,3.48196,3.06765,3.01804,999,,,,,,,770.8799774169921,4.951059682250657,724.4999847412109,4.6531791839536725,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
