Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",44,190,172,51,30,11,2,9,30,29,15,1,32,2,1,0,,11,3,0.298312,0.080286,0.166287,0.482817,0.358584,0.530698,0.37968,0.889282,0.232386,6.84513,0.320238,0.307327,0.744412,32.3689,9.73254,142.795,1.05174,3.44333,10.544579982757568,5.479906320571899,2.31296,3.0999999046325684,,,,,,,305,6.931818181,305,6.931818181,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Yordan Alvarez","HOU",46,198,169,52,29,10,0,13,32,35,25,2,34,3,1,0,,1,0,0.306682,0.12701,0.172642,0.735682,0.401639,0.592673,0.421307,0.994312,0.28599,3.2179,0.317268,-0.178968,-0.186846,40.3462,16.7991,175.378,-0.365814,0.067234,17.02766826748848,-4.619185917079449,1.97406,33.38999938964844,,,,,,,359.3,7.810869565,359.3,7.810869565,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Shohei Ohtani","LAD",51,219,188,54,27,9,2,15,39,38,28,2,52,2,1,0,,6,2,0.285517,0.128878,0.238183,0.541086,0.381224,0.595362,0.411781,0.976586,0.309845,6.16373,0.315562,0.0148482,0.227645,43.0604,16.9404,162.512,0.242493,0,16.89213639497757,-5.483333110809326,1.87963,1.2699999809265137,,,,,,,388.7,7.621568627,388.7,7.621568627,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Gunnar Henderson","BAL",51,220,195,52,31,11,2,9,34,31,21,1,49,2,2,0,,6,1,0.26913,0.0964494,0.221428,0.435578,0.345252,0.477475,0.355326,0.822727,0.208344,6.52453,0.315169,0.279499,0.362159,33.0965,6.91475,130.411,0.641657,-0.5149,8.444229185581207,1.8406556248664856,1.83889,12.510000228881836,,,,,,,301.7,5.915686274,301.7,5.915686274,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Pete Crow-Armstrong","CHC",51,222,200,52,30,10,2,9,32,29,16,1,56,4,2,0,,12,3,0.257769,0.0735499,0.25146,0.292492,0.322688,0.462013,0.338682,0.784701,0.204244,7.49786,0.312322,0.191747,0.755686,30.3777,3.97978,114.956,0.947433,4.87271,4.973121225833893,5.664379775524139,1.80912,32.939998626708984,,,,,,,290.6,5.698039215,290.6,5.698039215,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Julio Rodríguez","SEA",51,220,199,55,35,10,1,9,30,31,16,1,47,3,2,0,,9,2,0.277202,0.0737239,0.212206,0.347416,0.338099,0.471374,0.349439,0.809473,0.194172,5.48833,0.317935,0.103683,0.589621,32.0468,5.86505,131.498,0.693305,0.436301,8.77472460269928,1.025190144777298,1.78972,9.489999771118164,,,,,,,296.8,5.819607843,296.8,5.819607843,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Junior Caminero","TBR",53,228,207,58,34,10,1,13,32,35,19,1,43,1,2,0,,2,1,0.279939,0.0812522,0.190422,0.426697,0.340376,0.520167,0.367153,0.860544,0.240228,3.94095,0.297372,-0.0137577,-0.18297,36.5337,9.36395,136.262,-0.196727,-1.05495,9.457993894815445,-0.5117443203926086,1.73322,16.479999542236328,,,,,,,335.7,6.333962264,335.7,6.333962264,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Fernando Tatis Jr.","SDP",52,226,200,55,34,10,1,10,31,30,22,1,46,2,2,0,,10,3,0.274386,0.0978335,0.201811,0.484777,0.350246,0.476738,0.357618,0.826984,0.202352,5.4651,0.308636,0.116155,0.656034,34.4929,7.53924,129.516,0.772189,3.06329,8.884536147117615,0.6716206073760986,1.71488,14.010000228881836,,,,,,,319.3,6.140384615,319.3,6.140384615,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Elly De La Cruz","CIN",52,226,202,54,31,10,2,10,34,31,21,1,62,1,2,0,,12,3,0.26548,0.0917453,0.276597,0.331693,0.33503,0.485349,0.352572,0.82038,0.21987,7.32353,0.334074,0.366466,0.767791,33.4834,6.59668,117.668,1.13426,1.14529,5.978200197219849,3.3096377849578857,1.68582,8.449999809265137,,,,,,,315.2,6.061538461,315.2,6.061538461,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Ronald Acuña Jr.","ATL",49,212,181,51,32,9,1,10,32,31,27,1,45,3,1,0,,11,3,0.283608,0.128964,0.210217,0.613481,0.383192,0.507378,0.384552,0.89057,0.223771,5.44837,0.322764,0.271009,0.536622,36.9974,11.711,143.363,0.807631,-0.987865,11.988530397415161,-3.596198797225952,1.55074,5.260000228881836,,,,,,,332.9,6.793877551,332.9,6.793877551,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
