Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",4,2,,2.65671,9,9,,,,56,219,44,18,16,5,9,,2,68,11.0749,1.53594,7.21053,0.827789,0.312805,0.0433817,0.26942289993166924,0.210741,0.95631,0.288367,0.767877,,,2.46194,1.8888,1.85413,7.019999980926514,,,,,,,341.5000000000001,6.098214285714287,318,5.678571428571429,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",5,2,,2.78916,11,11,,,,59,237,47,20,18,5,15,,3,69,10.5068,2.25863,4.65182,0.804696,0.290068,0.0623559,0.22771254554390907,0.213798,1.04835,0.286306,0.770704,,,2.82219,1.75788,1.8626,9.649999618530273,,,,,,,336.90000000000003,5.710169491525424,314,5.322033898305085,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",4,2,,3.14152,10,10,,,,62,254,56,24,22,5,14,,2,64,9.21797,1.9879,4.63703,0.788207,0.250412,0.0540028,0.19640953466296196,0.233797,1.11812,0.297027,0.742042,,,2.95711,1.71884,1.61962,24.75,,,,,,,331.69999999999993,5.349999999999999,325,5.241935483870968,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",5,3,,3.28734,10,10,,,,63,263,60,25,23,5,14,,2,58,8.20104,1.99962,4.1013,0.685832,0.220119,0.0536706,0.1664486601948738,0.244286,1.17108,0.301246,0.727229,,,3.04381,1.54134,1.46265,57.189998626708984,,,,,,,316.70000000000005,5.026984126984128,318,5.0476190476190474,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Yoshinobu Yamamoto","LAD",5,3,,3.46202,9,9,,,,58,231,46,24,22,6,14,,2,60,9.40974,2.22627,4.22669,0.964611,0.26048,0.0616274,0.198852326720953,0.212508,1.04181,0.265793,0.699396,,,3.2382,1.48437,1.28692,26.639999389648438,,,,,,,307.80000000000007,5.306896551724139,284,4.896551724137931,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Dylan Cease","TOR",4,2,,3.28552,10,10,,,,54,225,42,21,20,5,22,,1,69,11.4589,3.57924,3.20149,0.880685,0.305956,0.095567,0.2103894054889679,0.209327,1.18028,0.289219,0.750973,,,3.10382,1.44503,1.33332,74.7699966430664,,,,,,,297.90000000000003,5.5166666666666675,274,5.074074074074074,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Chris Sale","ATL",4,2,,2.978,8,8,,,,47,191,40,17,15,4,12,,3,56,10.8524,2.24438,4.83538,0.813638,0.295451,0.061102,0.23434923589229584,0.227169,1.1032,0.310041,0.761328,,,2.84157,1.32771,1.33899,39.36000061035156,,,,,,,261.6,5.565957446808511,250,5.319148936170213,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jesús Luzardo","PHI",4,3,,3.74876,10,10,,,,56,233,49,25,23,7,17,,2,65,10.399,2.78614,3.73241,1.05083,0.277567,0.0743668,0.20320065319538116,0.22983,1.18563,0.298988,0.716987,,,3.36966,1.31173,1.09659,70.58999633789062,,,,,,,273.9000000000001,4.89107142857143,262,4.678571428571429,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Ranger Suarez","BOS",4,2,,3.29599,9,9,,,,51,217,49,20,19,4,15,,1,48,8.41558,2.60231,3.23389,0.707069,0.221937,0.0686285,0.1533086821436882,0.24462,1.2431,0.303311,0.745764,,,3.20125,1.26487,1.3465,183.97999572753906,,,,,,,248.80000000000004,4.87843137254902,251,4.921568627450981,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Garrett Crochet","BOS",4,2,,3.05176,8,8,,,,45,185,39,17,15,5,12,,2,55,11.0703,2.47116,4.4798,0.944364,0.299387,0.0668305,0.23255674540996552,0.225006,1.12932,0.304332,0.774365,,,2.94285,1.22405,1.25904,12.239999771118164,,,,,,,238.1,5.291111111111111,228,5.066666666666666,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Bryan Woo","SEA",4,2,,3.37417,9,9,,,,54,217,45,22,20,6,11,,2,54,9.05127,1.84212,4.91351,1.01233,0.250887,0.0510606,0.19982625171542168,0.221457,1.03793,0.272564,0.716017,,,3.29855,1.20086,1.07043,34.77000045776367,,,,,,,277.8,5.144444444444445,261,4.833333333333333,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Jacob Misiorowski","MIL",4,2,,3.19849,9,8,,,,45,183,32,17,16,5,16,,3,62,12.347,3.15294,3.91602,0.953214,0.338395,0.086413,0.2519819810986519,0.19862,1.0706,0.285937,0.74194,,,3.02599,1.19259,1.15825,114.13999938964844,,,,,,,255.3,5.673333333333334,227,5.044444444444444,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Cam Schlittler","NYY",4,2,,3.48504,10,9,,,,51,208,43,21,20,6,15,,2,57,10.0761,2.59536,3.88235,0.988711,0.271857,0.0700237,0.2018330916762352,0.225792,1.14273,0.291458,0.729911,,,3.30197,1.18813,1.10472,116.62999725341797,,,,,,,254.8,4.996078431372549,240,4.705882352941177,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Max Fried","NYY",4,2,,3.28674,8,8,,,,49,204,43,20,18,4,15,,2,45,8.18115,2.65405,3.08252,0.642169,0.220196,0.0714337,0.14876196533441544,0.227633,1.15979,0.281484,0.71973,,,3.20541,1.18133,1.09529,50.04999923706055,,,,,,,240.60000000000002,4.910204081632654,232,4.73469387755102,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Jacob deGrom","TEX",4,2,,3.47626,9,9,,,,51,204,42,21,20,7,12,,0,56,10.0238,2.0948,4.7851,1.26342,0.276304,0.0577427,0.21856166049838066,0.217361,1.0564,0.269516,0.740301,,,3.43203,1.11673,1.11124,50.0099983215332,,,,,,,258.1000000000001,5.060784313725492,240,4.705882352941177,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Chase Burns","CIN",3,2,,3.91625,10,8,,,,42,176,37,20,18,5,13,,0,49,10.5812,2.89351,3.65688,1.15383,0.280586,0.0767282,0.20385755598545074,0.2302,1.21206,0.297245,0.715766,,,3.38949,1.09404,0.735445,109.72000122070312,,,,,,,212.10000000000002,5.050000000000001,204,4.857142857142857,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Logan Gilbert","SEA",3,2,,3.414,10,10,,,,55,223,46,23,21,7,13,,2,59,9.75222,2.14824,4.53963,1.14944,0.267038,0.0588236,0.2082141637802124,0.223372,1.08405,0.278887,0.74204,,,3.42265,1.0911,1.02104,37.150001525878906,,,,,,,274.29999999999995,4.987272727272726,257,4.672727272727273,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Joe Ryan","MIN",4,3,,3.79744,10,10,,,,53,217,47,24,22,8,12,,3,58,9.8858,2.01227,4.91275,1.27624,0.269595,0.0548766,0.21471865475177765,0.230707,1.09995,0.287119,0.711455,,,3.58353,1.07561,0.971602,78.52999877929688,,,,,,,242.60000000000008,4.57735849056604,232,4.377358490566038,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Zack Wheeler","PHI",3,2,,3.42329,7,7,,,,44,180,37,18,17,5,11,,2,49,9.97811,2.32021,4.30053,1.05204,0.271587,0.0631519,0.20843462646007538,0.224336,1.10742,0.286032,0.735329,,,3.29685,1.07173,1.04153,110.48999786376953,,,,,,,226.90000000000003,5.156818181818182,214,4.863636363636363,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Kevin Gausman","TOR",4,3,,3.80526,10,10,,,,55,231,52,25,23,7,16,,1,54,8.88602,2.56591,3.4631,1.14585,0.234818,0.0678057,0.1670125424861908,0.242481,1.23289,0.293649,0.733247,,,3.67811,1.0581,0.962592,112.94999694824219,,,,,,,242.7,4.412727272727272,241,4.381818181818182,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
