mlbam,fgid,name,war,ip,gs,g
477132,2036,Clayton Kershaw,7.114094704053896,207.1219940185547,30.780000686645508,30.780000686645508
453286,3137,Max Scherzer,5.650142848254421,202.52099609375,30.780000686645508,30.780000686645508
592789,11762,Noah Syndergaard,5.451725799877892,198.89599609375,32.0,32.0
446372,2429,Corey Kluber,4.750609446444156,211.21099853515625,32.0,32.0
519242,10603,Chris Sale,4.621496412851955,213.2729949951172,32.0,32.0
506433,13074,Yu Darvish,4.607417880633459,194.7740020751953,32.0,32.0
518516,5524,Madison Bumgarner,4.4986758431908225,209.1510009765625,32.0,32.0
544931,10131,Stephen Strasburg,4.4383945849886555,176.72999572753906,29.15999984741211,29.15999984741211
434378,8700,Justin Verlander,4.3806788715005585,207.94900512695312,32.0,32.0
452657,4930,Jon Lester,4.325488679308266,204.02699279785156,32.0,32.0
471911,6632,Carlos Carrasco,4.209401503970438,186.1219940185547,30.780000686645508,30.780000686645508
502042,6345,Chris Archer,3.9650412432988205,198.53199768066406,32.0,32.0
543037,13125,Gerrit Cole,3.9035235695836716,188.9669952392578,30.780000686645508,30.780000686645508
547888,15764,Masahiro Tanaka,3.8249162887163477,204.63699340820312,32.0,32.0
500779,11423,Jose Quintana,3.8181808547282636,204.41900634765625,32.0,32.0
572971,9434,Dallas Keuchel,3.755265225712742,200.97799682617188,30.780000686645508,30.780000686645508
592791,11674,Jameson Taillon,3.7224773044535393,174.96200561523438,29.15999984741211,29.15999984741211
453562,4153,Jake Arrieta,3.6435352418146048,195.3459930419922,30.780000686645508,30.780000686645508
593372,11682,Carlos Martinez,3.6160372674474845,199.05299377441406,32.0,32.0
519144,2717,Rick Porcello,3.59924946706559,196.10000610351562,30.780000686645508,30.780000686645508
456501,6893,Johnny Cueto,3.573204293328859,209.1020050048828,32.0,32.0
594798,10954,Jacob deGrom,3.470585646706269,180.33299255371094,29.15999984741211,29.15999984741211
501381,5372,Michael Pineda,3.4469159175549255,151.60499572753906,25.920000076293945,25.920000076293945
425844,1943,Zack Greinke,3.3152803245986653,185.52200317382812,29.15999984741211,29.15999984741211
592351,14916,Jon Gray,3.3011367772953193,184.40199279785156,30.780000686645508,30.780000686645508
592662,11486,Robbie Ray,3.2873415546581777,167.64100646972656,29.15999984741211,29.15999984741211
572020,11828,James Paxton,3.233101451294623,170.98699951171875,29.15999984741211,29.15999984741211
430935,4972,Cole Hamels,3.225873525658978,204.38999938964844,32.0,32.0
533167,4776,Matt Shoemaker,3.216405501799225,194.09100341796875,32.0,32.0
605400,16149,Aaron Nola,3.173576803958096,166.41200256347656,27.540000915527344,27.540000915527344
573186,13431,Marcus Stroman,3.1600697814141285,168.57699584960938,27.540000915527344,27.540000915527344
592332,14107,Kevin Gausman,3.0885082145532956,178.16299438476562,29.15999984741211,29.15999984741211
517593,5867,Danny Salazar,3.03988539873833,169.25,29.15999984741211,29.15999984741211
433587,4772,Félix Hernández,2.992006877466687,203.2030029296875,32.0,32.0
543294,12049,Kyle Hendricks,2.971872965811031,174.49000549316406,29.15999984741211,29.15999984741211
542881,12880,Tyler Anderson,2.939880476877585,173.15199279785156,29.15999984741211,29.15999984741211
461829,7448,Gio Gonzalez,2.882042751897229,164.8520050048828,29.15999984741211,29.15999984741211
592717,11490,Aaron Sanchez,2.8738806778214943,202.1719970703125,32.0,32.0
605242,13218,Michael Fulmer,2.8644248170037,174.51400756835938,29.15999984741211,29.15999984741211
448179,4806,Rich Hill,2.822659760556749,144.5570068359375,24.299999237060547,24.299999237060547
572070,9784,Garrett Richards,2.8123353649753495,157.59800720214844,25.920000076293945,25.920000076293945
456034,3184,David Price,2.801121267412533,133.4040069580078,21.059999465942383,21.059999465942383
425794,2233,Adam Wainwright,2.7554648253397493,169.86300659179688,27.540000915527344,27.540000915527344
407793,1507,John Lackey,2.7292814495462387,179.75,29.15999984741211,29.15999984741211
621121,14120,Lance McCullers Jr.,2.6696861463927797,148.27200317382812,25.920000076293945,25.920000076293945
502188,3254,Jeff Samardzija,2.6524603928666384,192.2689971923828,30.780000686645508,30.780000686645508
518633,3542,Danny Duffy,2.64657559366272,187.44700622558594,30.780000686645508,30.780000686645508
518774,11713,Matt Harvey,2.634766948692,143.8730010986328,24.299999237060547,24.299999237060547
592826,11189,Vince Velasquez,2.614163329843008,157.4929962158203,27.540000915527344,27.540000915527344
519043,1890,Matt Moore,2.5615247095656275,178.22900390625,30.780000686645508,30.780000686645508
571927,13361,Steven Matz,2.5311989915307316,131.95399475097656,22.68000030517578,22.68000030517578
628317,18498,Kenta Maeda,2.4937423214117556,148.2050018310547,25.920000076293945,25.920000076293945
605194,13654,Jharel Cotton,2.4076265279801587,148.22500610351562,25.920000076293945,25.920000076293945
543022,4338,Tyler Chatwood,2.3686415901930484,174.95799255371094,29.15999984741211,29.15999984741211
612672,13071,Wei-Yin Chen,2.366936859420076,168.781005859375,29.15999984741211,29.15999984741211
448855,5702,Junior Guerra,2.3584526932453462,191.68800354003906,30.780000686645508,30.780000686645508
543243,12768,Sonny Gray,2.353897015470192,159.52099609375,25.920000076293945,25.920000076293945
572140,10190,Tyler Skaggs,2.3477698036799,136.40199279785156,24.299999237060547,24.299999237060547
527054,6797,Julio Teheran,2.324015160386842,183.28700256347656,29.15999984741211,29.15999984741211
429722,3200,Ervin Santana,2.313443351774436,198.99200439453125,32.0,32.0
468504,2608,Jhoulys Chacín,2.3132984226649764,162.97300720214844,27.540000915527344,27.540000915527344
605452,12972,Joe Ross,2.31101026607706,146.3509979248047,25.920000076293945,25.920000076293945
458681,2520,Lance Lynn,2.2802631427654037,158.36300659179688,27.540000915527344,27.540000915527344
607074,16137,Carlos Rodón,2.2770818505274124,142.8990020751953,24.299999237060547,24.299999237060547
592836,11836,Taijuan Walker,2.267623938865495,148.40199279785156,25.920000076293945,25.920000076293945
502190,10130,Mike Leake,2.260386677839408,185.5919952392578,30.780000686645508,30.780000686645508
457918,7410,J.A. Happ,2.2596778250963703,184.27499389648438,30.780000686645508,30.780000686645508
543521,7531,Collin McHugh,2.2466721341220595,162.24600219726562,27.540000915527344,27.540000915527344
448802,8137,Jaime García,2.2441613938911744,130.2259979248047,22.68000030517578,22.68000030517578
554430,10310,Zack Wheeler,2.202688058399794,145.36500549316406,21.059999465942383,46.060001373291016
453178,6986,Ian Kennedy,2.175234286631971,183.5850067138672,30.780000686645508,30.780000686645508
605200,13183,Zach Davies,2.173590324543867,174.2729949951172,29.15999984741211,29.15999984741211
543699,8753,Tanner Roark,2.1311518866775203,176.80499267578125,29.15999984741211,29.15999984741211
519455,4505,Jordan Zimmermann,2.0997682695208963,175.697998046875,29.15999984741211,29.15999984741211
112526,375,Bartolo Colon,2.0980968505979076,164.031005859375,27.540000915527344,27.540000915527344
628711,14765,Julio Urías,2.0895009963773084,105.09300231933594,19.440000534057617,19.440000534057617
489119,8779,Wade Miley,2.0551498535376247,172.38699340820312,29.15999984741211,29.15999984741211
445060,3830,Ricky Nolasco,2.054015458117451,175.8719940185547,29.15999984741211,29.15999984741211
640455,15873,Sean Manaea,2.0518657913922835,161.6490020751953,27.540000915527344,27.540000915527344
547874,13048,Hisashi Iwakuma,2.0451280927988553,179.04200744628906,29.15999984741211,29.15999984741211
434538,3201,Francisco Liriano,2.037565160237348,147.72900390625,25.920000076293945,25.920000076293945
476451,4371,Jeremy Hellickson,2.0286507793562683,171.48500061035156,29.15999984741211,29.15999984741211
595191,12664,Jerad Eickhoff,2.0194700576570503,151.76699829101562,25.920000076293945,25.920000076293945
450172,3990,Edinson Volquez,1.9892322353227203,164.86500549316406,27.540000915527344,27.540000915527344
622072,13781,Alex Wood,1.9539098537951731,129.10400390625,16.200000762939453,51.20000076293945
608648,13758,Tyler Duffey,1.9361574831140875,136.78500366210938,19.440000534057617,49.439998626708984
543606,6397,Jake Odorizzi,1.8975365727341353,162.281005859375,27.540000915527344,27.540000915527344
282332,404,CC Sabathia,1.8834146933586664,143.50100708007812,24.299999237060547,24.299999237060547
467100,1994,Iván Nova,1.8698189364886655,119.4280014038086,21.059999465942383,21.059999465942383
527048,6902,Martín Pérez,1.8672553645364698,163.5019989013672,27.540000915527344,27.540000915527344
571946,10197,Shelby Miller,1.8354513927145244,137.62899780273438,24.299999237060547,24.299999237060547
571666,7754,Mike Fiers,1.8328880785418622,180.28900146484375,30.780000686645508,30.780000686645508
502171,6562,Alex Cobb,1.8017103013796651,140.6719970703125,24.299999237060547,24.299999237060547
502043,10123,Kyle Gibson,1.7667368303806146,163.06100463867188,27.540000915527344,27.540000915527344
445926,5448,Jesse Chavez,1.7649088306616907,130.27099609375,22.68000030517578,22.68000030517578
605483,13543,Blake Snell,1.7646250798431578,121.8550033569336,22.68000030517578,22.68000030517578
607192,14374,Tyler Glasnow,1.7622912340931496,107.94999694824219,19.440000534057617,19.440000534057617
453192,6785,Andrew Miller,1.746488996396705,65.0,0.0,65.0
285079,1245,R.A. Dickey,1.7400360359281533,163.60699462890625,27.540000915527344,27.540000915527344
592314,10811,Mike Foltynewicz,1.7083122934316881,152.66600036621094,25.920000076293945,25.920000076293945
622663,15890,Luis Severino,1.7061156190732998,105.5739974975586,19.440000534057617,19.440000534057617
444857,6283,Scott Feldman,1.6941271114906165,169.02099609375,27.540000915527344,27.540000915527344
571578,9323,Patrick Corbin,1.6783521030223103,135.96099853515625,24.299999237060547,24.299999237060547
593958,13164,Eduardo Rodriguez,1.6726153774441772,139.1959991455078,24.299999237060547,24.299999237060547
608566,15038,Germán Márquez,1.670497723222858,128.343994140625,22.68000030517578,22.68000030517578
476454,6216,Dellin Betances,1.6661955530514119,65.0,0.0,65.0
608379,14078,Michael Wacha,1.658539775399421,129.38299560546875,22.68000030517578,22.68000030517578
605164,12917,Dylan Bundy,1.6369107535458292,147.67999267578125,25.920000076293945,25.920000076293945
542882,12022,Matt Andriese,1.63271675173448,117.22000122070312,21.059999465942383,21.059999465942383
608665,15514,Kendall Graveman,1.6150227772354768,174.5500030517578,29.15999984741211,29.15999984741211
547973,10233,Aroldis Chapman,1.6084346752679113,65.0,0.0,65.0
545333,12703,Trevor Bauer,1.5679762937807293,133.6540069580078,22.68000030517578,22.68000030517578
501992,12638,Nate Karns,1.5551333924155568,145.3070068359375,25.920000076293945,25.920000076293945
435221,4662,Brandon McCarthy,1.5433297877626495,90.47229766845703,16.200000762939453,16.200000762939453
453329,3543,Clay Buchholz,1.5371351626861558,102.73899841308594,17.81999969482422,17.81999969482422
445276,3096,Kenley Jansen,1.5336403481044845,65.0,0.0,65.0
450203,4676,Charlie Morton,1.5031121168577894,118.60700225830078,21.059999465942383,21.059999465942383
596057,13475,Daniel Norris,1.4839502969460967,124.18599700927734,22.68000030517578,22.68000030517578
450306,8044,Jason Vargas,1.4755865681039184,145.27000427246094,25.920000076293945,25.920000076293945
592254,15463,José De León,1.457509057451724,72.1635971069336,12.960000038146973,12.960000038146973
475115,7872,Tyson Ross,1.4170919873574173,84.96790313720703,14.579999923706055,14.579999923706055
434628,4538,Jason Hammel,1.4036600842685283,157.77099609375,27.540000915527344,27.540000915527344
592767,11760,Drew Smyly,1.4011796044723082,93.19709777832031,16.200000762939453,16.200000762939453
547943,14444,Hyun Jin Ryu,1.3939477277229733,92.31189727783203,16.200000762939453,16.200000762939453
643338,15552,Chad Green,1.372235338241546,108.13500213623047,17.81999969482422,27.81999969482422
453385,3551,Clayton Richard,1.3679308252297333,146.92100524902344,24.299999237060547,24.299999237060547
502154,3240,Zack Britton,1.359860345475792,65.0,0.0,65.0
461833,7450,Phil Hughes,1.3521184475400887,140.67300415039062,24.299999237060547,24.299999237060547
453214,8185,Steven Wright,1.3494797238581304,145.6540069580078,24.299999237060547,24.299999237060547
462136,1118,Marco Estrada,1.346020400986753,162.375,27.540000915527344,27.540000915527344
641771,14975,Chad Kuhl,1.3420915301904013,128.802001953125,22.68000030517578,22.68000030517578
606131,14682,Luis Perdomo,1.3420264576203973,130.41000366210938,22.68000030517578,22.68000030517578
458708,9388,Josh Tomlin,1.3362519023829689,132.93299865722656,22.68000030517578,22.68000030517578
450729,9425,Doug Fister,1.3254814672438342,163.26300048828125,27.540000915527344,27.540000915527344
543557,4869,Mike Montgomery,1.3207753267691817,102.73400115966797,12.960000038146973,42.959999084472656
503449,7738,Wily Peralta,1.3183681011923238,140.2949981689453,24.299999237060547,24.299999237060547
592811,13533,Andrew Triggs,1.2975874362818218,125.06900024414062,22.68000030517578,22.68000030517578
474463,8223,Brett Anderson,1.2969725428441765,90.50659942626953,16.200000762939453,16.200000762939453
543101,13050,Anthony DeSclafani,1.2488242351741787,94.93080139160156,16.200000762939453,16.200000762939453
543045,14457,Adam Conley,1.2303079116211113,125.67500305175781,22.68000030517578,22.68000030517578
543542,12833,Alex Meyer,1.2234334101538697,88.86620330810547,16.200000762939453,16.200000762939453
605397,12970,Joe Musgrove,1.2134163992888372,83.30139923095703,14.579999923706055,14.579999923706055
571510,15440,Matthew Boyd,1.1824922187793543,114.51399993896484,21.059999465942383,21.059999465942383
502239,6249,Trevor Cahill,1.1690803515769355,108.49800109863281,19.440000534057617,19.440000534057617
664641,17526,Aríel Miranda,1.1467384341081994,128.36900329589844,22.68000030517578,22.68000030517578
605232,16208,Brandon Finnegan,1.1402158900915336,170.36199951171875,29.15999984741211,29.15999984741211
506693,5669,Henderson Alvarez,1.1313119838682761,93.57119750976562,16.200000762939453,16.200000762939453
621242,14710,Edwin Díaz,1.11798251544865,65.0,0.0,65.0
621244,14168,José Berríos,1.111745149194193,85.90139770507812,16.200000762939453,16.200000762939453
519076,10547,Jimmy Nelson,1.1114394839259767,120.04199981689453,21.059999465942383,21.059999465942383
502327,4026,Héctor Santiago,1.0978331278636795,176.22799682617188,30.780000686645508,30.780000686645508
501957,5279,Chris Tillman,1.0977700615815067,129.88800048828125,22.68000030517578,22.68000030517578
543408,6570,Tom Koehler,1.0925275134058188,139.17300415039062,24.299999237060547,24.299999237060547
573185,9460,Dan Straily,1.0806001644381915,145.33799743652344,24.299999237060547,24.299999237060547
571704,12910,Ken Giles,1.0710177410364101,65.0,0.0,65.0
594795,11203,Grant Dayton,1.0558833922633233,65.0,0.0,65.0
490063,3340,Matt Garza,1.0537810352160417,128.2010040283203,22.68000030517578,22.68000030517578
451584,7441,Wade Davis,1.0329450474247879,65.0,0.0,65.0
451596,8173,Yovani Gallardo,1.0311923356689514,135.04100036621094,24.299999237060547,24.299999237060547
434622,3374,Ubaldo Jiménez,1.0009675627463839,109.29399871826172,17.81999969482422,27.81999969482422
518886,6655,Craig Kimbrel,0.9890742036138609,65.0,0.0,65.0
475479,6316,David Phelps,0.987197542401749,73.1897964477539,3.240000009536743,58.2400016784668
407890,1259,Colby Lewis,0.9811814500170932,170.81300354003906,27.540000915527344,27.540000915527344
519141,11426,Drew Pomeranz,0.9517185242465418,63.73350143432617,11.34000015258789,11.34000015258789
571800,10732,Drew Hutchison,0.949629274332692,63.4734992980957,11.34000015258789,11.34000015258789
448281,1581,Sean Doolittle,0.9439258151089536,65.0,0.0,65.0
518875,7773,Shawn Kelley,0.926263059521034,65.0,0.0,65.0
446399,2660,Brett Cecil,0.9214250570468037,55.0,0.0,55.0
571951,11479,Bryan Mitchell,0.9122126165216159,118.05799865722656,19.440000534057617,29.440000534057617
493200,18719,Seunghwan Oh,0.9117896346868863,65.0,0.0,65.0
518858,4696,Nate Jones,0.907785903823837,65.0,0.0,65.0
596133,16918,Luke Weaver,0.8967149749208113,62.29059982299805,11.34000015258789,11.34000015258789
434671,3284,Aníbal Sánchez,0.8930155431536129,64.50769805908203,11.34000015258789,11.34000015258789
456068,7024,Miguel González,0.8921334146989975,139.3990020751953,24.299999237060547,24.299999237060547
444468,2391,Héctor Rondón,0.8917882414880126,65.0,0.0,65.0
607229,13696,Robert Gsellman,0.8899657124101953,83.4468994140625,14.579999923706055,14.579999923706055
407822,2047,Jorge De La Rosa,0.886534881106403,81.1812973022461,6.480000019073486,51.47999954223633
532077,13764,Roberto Osuna,0.8794624038996175,65.0,0.0,65.0
518813,7196,Greg Holland,0.8769399700299267,65.0,0.0,65.0
453343,4264,Mark Melancon,0.865735401318254,65.0,0.0,65.0
493603,1247,Adam Ottavino,0.848971326338595,65.0,0.0,65.0
516969,6033,Kelvin Herrera,0.8446264192526916,65.0,0.0,65.0
456713,1246,Matt Bush,0.8380000512270821,65.0,0.0,65.0
456167,11132,A.J. Griffin,0.8235438890132748,115.99800109863281,21.059999465942383,21.059999465942383
607536,16256,Kyle Freeland,0.8202310551064297,110.80799865722656,19.440000534057617,19.440000534057617
592102,12183,Cody Allen,0.809053431414679,65.0,0.0,65.0
544727,5114,Jeurys Familia,0.8000377480681508,65.0,0.0,65.0
592866,16977,Trevor Williams,0.7945400703275451,135.8350067138672,17.81999969482422,52.81999969482422
605538,12804,Matt Wisler,0.7784891174583821,121.94300079345703,21.059999465942383,21.059999465942383
607237,14375,Amir Garrett,0.775085126352575,110.80799865722656,19.440000534057617,19.440000534057617
543734,9895,Chris Rusin,0.7745372304386385,76.0167007446289,8.100000381469727,38.099998474121094
628452,17130,Raisel Iglesias,0.75942295270142,65.0,0.0,65.0
523260,9761,Joe Kelly,0.758033656646491,65.0,0.0,65.0
608349,15010,Corey Knebel,0.7565390834976411,65.0,0.0,65.0
621389,14361,Ty Blach,0.7557961463697528,85.3114013671875,9.720000267028809,39.720001220703125
607457,13713,Kyle Barraclough,0.7531805768768667,65.0,0.0,65.0
502706,4141,Derek Holland,0.7497771622284993,108.93599700927734,19.440000534057617,19.440000534057617
605151,12918,Archie Bradley,0.7448424129072693,55.0,0.0,55.0
458677,4301,Justin Wilson,0.7338385054234082,65.0,0.0,65.0
642003,15232,Cody Reed,0.7213886526269452,65.72679901123047,6.480000019073486,36.47999954223633
493157,9227,Koji Uehara,0.7108502253597972,55.0,0.0,55.0
595014,12572,Blake Treinen,0.7107488930313606,65.0,0.0,65.0
502085,8241,David Robertson,0.7101096921031461,65.0,0.0,65.0
276520,978,Bronson Arroyo,0.7058382365814068,130.08399963378906,22.68000030517578,22.68000030517578
502624,6895,Chase Anderson,0.7036560625403072,113.08599853515625,16.200000762939453,41.20000076293945
605182,12808,Mike Clevinger,0.7027315660543014,67.2936019897461,9.720000267028809,24.719999313354492
504379,7731,Juan Nicasio,0.6814685262640656,55.0,0.0,55.0
605169,12803,Carter Capps,0.6790760758940864,45.0,0.0,45.0
473879,11710,Sam Dyson,0.6598680966857691,65.0,0.0,65.0
592135,13360,Cam Bedrosian,0.6557335586859921,65.0,0.0,65.0
467008,4070,Pedro Strop,0.6532999293049129,45.0,0.0,45.0
572096,10745,Trevor Rosenthal,0.6498357155624147,55.0,0.0,55.0
450308,4235,Jered Weaver,0.6488093386577911,143.66000366210938,24.299999237060547,24.299999237060547
