mlbam,fgid,name,war,pa
677951,25764,Bobby Witt Jr.,7.004734425937276,627.4380493164062
592450,15640,Aaron Judge,6.770738557352422,624.6845703125
683002,26289,Gunnar Henderson,6.449946128650874,618.2277221679688
665742,20123,Juan Soto,5.980498036354241,622.2235107421875
677594,23697,Julio Rodríguez,5.862669823731076,626.56884765625
605141,13611,Mookie Betts,5.726383800470467,640.3949584960938
670541,19556,Yordan Alvarez,5.493170861654227,597.6876220703125
660271,19755,Shohei Ohtani,5.321118044917947,668.689208984375
596019,12916,Francisco Lindor,5.282264296283161,654.2990112304688
608070,13510,José Ramírez,5.261331115747755,617.3696899414062
660670,18401,Ronald Acuña Jr.,5.238267760447132,609.8112182617188
665487,19709,Fernando Tatis Jr.,4.96039034942433,581.6012573242188
661388,20503,William Contreras,4.911336842201102,612.546630859375
682829,26668,Elly De La Cruz,4.785167172392462,631.4799194335938
682998,25878,Corbin Carroll,4.732580692926337,657.6430053710938
665489,19611,Vladimir Guerrero Jr.,4.724871224791958,640.5169067382812
663728,21534,Cal Raleigh,4.698186122968863,554.1256103515625
608369,13624,Corey Seager,4.592449014413731,514.1171264648438
701538,29490,Jackson Merrill,4.511340015341681,585.9617919921875
606466,13613,Ketel Marte,4.497388118287936,605.2727661132812
668939,26288,Adley Rutschman,4.311837843862758,569.9924926757812
671739,25931,Michael Harris II,4.301521435318761,534.072021484375
672275,27478,Patrick Bailey,4.2926566629611,459.37823486328125
547180,11579,Bryce Harper,4.122860862906091,618.3822021484375
543760,12533,Marcus Semien,4.086269253807151,619.3472900390625
663586,18360,Austin Riley,4.019110519645437,622.5535888671875
608324,17678,Alex Bregman,3.99446679676651,632.4766235351562
663656,18345,Kyle Tucker,3.991828378375767,565.5404052734375
672386,22581,Alejandro Kirk,3.928864437549393,416.9591064453125
518692,5361,Freddie Freeman,3.8854252955049056,643.7674560546875
682985,25976,Riley Greene,3.8333837132182254,605.8767700195312
683011,27647,Anthony Volpe,3.8229121580893715,596.5367431640625
670623,20036,Isaac Paredes,3.7422976016855376,596.8568725585938
592518,11493,Manny Machado,3.7139673896861947,595.722412109375
642715,15986,Willy Adames,3.7066373586637775,630.4407348632812
666182,19612,Bo Bichette,3.6795594104046865,591.6373291015625
691026,27479,Masyn Winn,3.654240680023623,595.8508911132812
669224,27562,Austin Wells,3.6093242684391367,454.3061828613281
656305,16505,Matt Chapman,3.586635611714969,585.5247802734375
672515,22664,Gabriel Moreno,3.4634848751673153,423.9642333984375
607208,16252,Trea Turner,3.4586756738135933,574.6839599609375
687263,31347,Zach Neto,3.440813722523935,513.5636596679688
691406,28163,Junior Caminero,3.423375234287441,513.8064575195312
665926,19950,Andrés Giménez,3.411544627250524,594.5862426757812
665862,20454,Jazz Chisholm Jr.,3.3858729977571578,558.790771484375
621020,18314,Dansby Swanson,3.3711555205006247,569.7808837890625
621043,14162,Carlos Correa,3.36890995699769,507.6341857910156
680757,24610,Steven Kwan,3.352039624000731,572.4025268554688
665833,21711,Oneil Cruz,3.3230713403169063,574.9166259765625
680776,24617,Jarren Duran,3.3152680869173117,640.7025756835938
680574,29695,Matt McLain,3.310341533181685,515.4237670898438
694192,28806,Jackson Chourio,3.2972032836451164,640.5116577148438
650490,16578,Yandy Díaz,3.2896460756415307,604.6358032226562
668901,22184,Mark Vientos,3.2767124104129954,586.9598388671875
805779,33266,Jacob Wilson,3.263568047349294,452.0840759277344
669364,22266,Xavier Edwards,3.2586212377384807,566.277587890625
668709,26368,JJ Bleday,3.2049733915313325,605.156005859375
671732,22542,Lawrence Butler,3.199161046554427,592.3958129882812
593428,12161,Xander Bogaerts,3.1882002735281145,551.5987548828125
676059,27815,Jordan Westburg,3.1570339293797756,517.7158813476562
694671,33333,Wyatt Langford,3.1170830721835054,529.3084106445312
682928,25768,CJ Abrams,3.104558452772819,582.6603393554688
545361,10155,Mike Trout,3.1031388497095467,458.24163818359375
808982,33824,Jung Hoo Lee,3.089512953919679,503.37921142578125
664040,18882,Brandon Lowe,3.0459479561890954,493.3251037597656
663538,21479,Nico Hoerner,3.0430427523452344,532.0641479492188
665161,21636,Jeremy Peña,3.0050716603452545,566.36962890625
621566,14344,Matt Olson,2.99443608856702,627.1368408203125
645277,16556,Ozzie Albies,2.9592904302668175,575.8302612304688
646240,17350,Rafael Devers,2.935688387107351,600.453857421875
669257,19197,Will Smith,2.919418448836331,475.4087829589844
667670,19627,Brent Rooker,2.9148776140888937,607.97119140625
673237,23003,Yainer Diaz,2.8940408992705304,532.4398193359375
514888,5417,Jose Altuve,2.8770467240733617,597.609619140625
668904,20437,Royce Lewis,2.8181359398231782,468.8206481933594
571448,9777,Nolan Arenado,2.7982422628887114,583.3480834960938
641355,15998,Cody Bellinger,2.7801925393730875,552.3489379882812
663457,21454,Lars Nootbaar,2.758224795751212,495.5815734863281
572233,13419,Christian Walker,2.750407309511398,569.5465698242188
650402,16997,Gleyber Torres,2.7051641344591384,610.096923828125
666310,21865,Bo Naylor,2.6757125999198674,398.3883361816406
678662,24064,Ezequiel Tovar,2.6629344483658954,617.56640625
680977,24679,Brendan Donovan,2.651686730199914,546.5115966796875
669127,25816,Shea Langeliers,2.635961973766378,474.4143371582031
686469,27676,Vinnie Pasquantino,2.6231302612611076,563.9225463867188
692225,33644,Kristian Campbell,2.6029211784519912,448.81842041015625
682626,26121,Francisco Alvarez,2.577201235788854,337.5564880371094
656941,16478,Kyle Schwarber,2.570679354913655,641.0610961914062
671056,20599,Iván Herrera,2.547609565699469,373.2197570800781
671277,20391,Luis García Jr.,2.5457008452172833,488.1357116699219
673357,20043,Luis Robert Jr.,2.5440120155342596,567.5371704101562
681082,26294,Bryson Stott,2.5288778553816353,519.0664672851562
695578,29518,James Wood,2.497548781450217,525.0994262695312
621493,17548,Taylor Ward,2.4962887943459524,619.8024291992188
681297,29591,Colton Cowser,2.469213586275737,498.9957580566406
624413,19251,Pete Alonso,2.4637675230226623,627.8560180664062
668670,19452,Jake Rogers,2.461561295022177,329.1759338378906
677587,23690,Brayan Rocchio,2.4576105111025717,459.40997314453125
668227,19290,Randy Arozarena,2.4385341054128404,635.816162109375
607043,12927,Brandon Nimmo,2.4272176834649057,548.07177734375
641487,15491,J.P. Crawford,2.426750475783459,494.75543212890625
623993,14551,Anthony Santander,2.426233151731278,635.2843017578125
672695,22799,Geraldo Perdomo,2.4039717996376324,474.9161071777344
668930,22186,Brice Turang,2.3865707294323233,543.0736694335938
664023,17919,Ian Happ,2.3551841177466395,611.916259765625
656775,17929,Cedric Mullins,2.3481750183660592,468.5827941894531
663697,21523,Jonathan India,2.3425017975214564,600.3475952148438
673490,27506,Ha-Seong Kim,2.3361878638854114,396.606201171875
664761,21618,Alec Bohm,2.316961699535564,536.2722778320312
668804,19326,Bryan Reynolds,2.301624773369198,611.4736328125
650333,18568,Luis Arraez,2.25913135113714,605.6285400390625
690993,27899,Colt Keith,2.2401087895975094,509.9532165527344
672580,22715,Maikel Garcia,2.2318319446779356,536.589111328125
575929,11609,Willson Contreras,2.2147552309120915,487.5212707519531
553993,12552,Eugenio Suárez,2.160196252781545,536.8848876953125
686668,25479,Brenton Doyle,2.1522772807804924,587.5114135742188
669221,19352,Sean Murphy,2.1297601840678673,320.3226623535156
606192,13066,Teoscar Hernández,2.1071839988978116,624.306884765625
650859,19858,Luis Rengifo,2.0911277074723893,468.27557373046875
670770,19522,TJ Friedl,2.0829710003369066,492.7969055175781
621439,14161,Byron Buxton,2.059454965644594,447.924560546875
691718,27769,Pete Crow-Armstrong,2.050519732340988,469.1548767089844
691176,28080,Jasson Domínguez,2.0272365021282477,454.16693115234375
666139,19953,Josh Lowe,1.9999759874146448,475.22808837890625
681351,24729,Logan O'Hoppe,1.9986696082294908,417.31536865234375
645302,18363,Victor Robles,1.9926678957257107,486.96112060546875
502671,9218,Paul Goldschmidt,1.9910368001428795,587.750732421875
673962,26299,Josh Jung,1.9766654053796544,465.85345458984375
702616,31781,Jackson Holliday,1.972192259745006,401.60906982421875
630105,18036,Jake Cronenworth,1.9552761888100885,525.2078247070312
592885,11477,Christian Yelich,1.9391674173565614,457.5821533203125
657041,16939,Lane Thomas,1.9309620921179251,533.9132690429688
671213,22514,Triston Casas,1.9201602236867437,487.8455505371094
687401,25493,Joey Ortiz,1.9188831983647359,489.3967590332031
571970,13301,Max Muncy,1.9176238606237908,438.84527587890625
670242,26466,Matt Wallner,1.9006455629732488,457.61627197265625
542303,10324,Marcell Ozuna,1.895302490874647,576.01513671875
678009,23800,Parker Meadows,1.8896586053488826,405.085693359375
666624,21897,Christopher Morel,1.8802951899139777,430.98626708984375
595777,10815,Jurickson Profar,1.874424301172633,597.6052856445312
669394,22275,Jake Burger,1.847957600223132,529.109130859375
521692,7304,Salvador Perez,1.8437027818459508,551.2061767578125
647304,18839,Josh Naylor,1.833633446975383,551.603515625
592663,11739,J.T. Realmuto,1.817775989514484,434.09356689453125
664983,21622,Jake McCarthy,1.8147511172629285,454.8907165527344
663647,18577,Ke'Bryan Hayes,1.8113328356020577,474.1004638671875
672640,19608,Otto Lopez,1.8096064284730935,405.68310546875
694384,33189,Nolan Schanuel,1.7833944744120305,522.4741821289062
678246,20178,Miguel Vargas,1.7768085506938207,494.33648681640625
641857,15112,Ryan McMahon,1.776065314880275,603.691162109375
662139,19918,Daulton Varsho,1.7497213287661295,482.77679443359375
592626,11899,Joc Pederson,1.7469989615517147,398.4396057128906
681393,29592,Connor Norby,1.7453534578460068,516.0176391601562
696285,29931,Jacob Young,1.7364511134319165,427.768310546875
593871,13152,Jorge Polanco,1.723324679169283,467.26080322265625
