mlbam,fgid,name,war,ip,gs,g
477132,2036,Clayton Kershaw,6.423935058758026,177.0,26.0,26.0
453286,3137,Max Scherzer,5.938320290532604,210.66700744628906,31.0,31.0
519242,10603,Chris Sale,5.565703526021618,199.66700744628906,29.0,29.0
446372,2429,Corey Kluber,5.414589593567216,208.66700744628906,31.0,31.0
592789,11762,Noah Syndergaard,5.3059991612287645,188.66700744628906,31.0,32.0
518516,5524,Madison Bumgarner,5.048662800438711,211.66700744628906,32.0,32.0
456034,3184,David Price,4.948743978306258,218.0,32.0,32.0
502042,6345,Chris Archer,4.343351139611446,195.33299255371094,32.0,32.0
544931,10131,Stephen Strasburg,4.305617767227193,159.33299255371094,27.0,27.0
452657,4930,Jon Lester,4.2145830464639085,189.66700744628906,29.0,29.0
500779,11423,Jose Quintana,4.154169796193466,189.0,30.0,30.0
456501,6893,Johnny Cueto,4.0906006919591436,207.66700744628906,30.0,30.0
453562,4153,Jake Arrieta,3.990236153025055,188.0,30.0,30.0
471911,6632,Carlos Carrasco,3.975688523474992,161.0,26.0,26.0
519144,2717,Rick Porcello,3.8835502230767736,195.33299255371094,30.0,30.0
605400,16149,Aaron Nola,3.871227045764051,184.0,32.0,32.0
572971,9434,Dallas Keuchel,3.6706689021328707,184.66700744628906,28.0,28.0
592662,11486,Robbie Ray,3.6048841874912187,176.33299255371094,32.0,32.0
501381,5372,Michael Pineda,3.597554912766915,156.66700744628906,28.0,28.0
594798,10954,Jacob deGrom,3.597019065348156,163.0,26.0,26.0
543294,12049,Kyle Hendricks,3.5924795588027902,182.0,30.0,31.0
547888,15764,Masahiro Tanaka,3.545758800342588,165.66700744628906,27.0,27.0
434378,8700,Justin Verlander,3.5451379392438898,169.33299255371094,26.0,26.0
592717,11490,Aaron Sanchez,3.5115017499136276,196.0,31.0,31.0
543037,13125,Gerrit Cole,3.454908580376447,159.33299255371094,27.0,27.0
517593,5867,Danny Salazar,3.4494779501443245,164.33299255371094,28.0,28.0
592332,14107,Kevin Gausman,3.4489091287129807,176.0,31.0,31.0
628317,18498,Kenta Maeda,3.4471706485890605,177.66700744628906,29.0,29.0
506433,13074,Yu Darvish,3.3825835014404797,139.33299255371094,24.0,24.0
543521,7531,Collin McHugh,3.297921892899807,177.66700744628906,30.0,30.0
593372,11682,Carlos Martinez,3.2636194979603097,192.0,31.0,31.0
430935,4972,Cole Hamels,3.1807489642406943,190.66700744628906,30.0,30.0
425844,1943,Zack Greinke,3.1443175787653868,172.33299255371094,28.0,28.0
502188,3254,Jeff Samardzija,3.1429767272166553,188.33299255371094,29.0,29.0
595191,12664,Jerad Eickhoff,3.0620396750619747,184.33299255371094,31.0,31.0
461829,7448,Gio Gonzalez,3.039182072055237,163.33299255371094,29.0,29.0
543606,6397,Jake Odorizzi,2.989591394695104,177.33299255371094,31.0,31.0
607074,16137,Carlos Rodón,2.9155126678642476,165.0,28.0,28.0
592826,11189,Vince Velasquez,2.913232251108048,139.66700744628906,25.0,25.0
