mlbam,fgid,name,war,pa
545361,10155,Mike Trout,2.8208059698817776,221.0
608324,17678,Alex Bregman,2.5942115633588636,248.0
596019,12916,Francisco Lindor,2.4919661308687355,263.0
605141,13611,Mookie Betts,2.2017070513856285,258.0
665742,20123,Juan Soto,2.123412239112283,251.0
656305,16505,Matt Chapman,2.0366616397439548,234.0
592885,11477,Christian Yelich,2.0344378487851054,233.0
641355,15998,Cody Bellinger,2.0111555121152462,238.0
608070,13510,José Ramírez,1.9349037151725241,224.0
543760,12533,Marcus Semien,1.8425582518353245,251.0
543685,12861,Anthony Rendon,1.7937729737356094,225.0
592450,15640,Aaron Judge,1.7593052404296876,193.0
518735,11368,Yasmani Grandal,1.7555515033132076,199.0
650402,16997,Gleyber Torres,1.737295307790181,230.0
571448,9777,Nolan Arenado,1.7105493288815408,239.0
660670,18401,Ronald Acuña Jr.,1.6819025390976063,258.0
645277,16556,Ozzie Albies,1.6774535840173428,250.0
514888,5417,Jose Altuve,1.6191020719342395,223.0
543807,12856,George Springer,1.6149915532785497,217.0
593428,12161,Xander Bogaerts,1.5996013998881506,251.0
592663,11739,J.T. Realmuto,1.5464858043387004,216.0
518626,5038,Josh Donaldson,1.5353758078642077,200.0
592178,15429,Kris Bryant,1.521124151363169,234.0
518692,5361,Freddie Freeman,1.5024666654041896,240.0
596115,12564,Trevor Story,1.478899204262148,238.0
606466,13613,Ketel Marte,1.4399652244317298,234.0
660162,17232,Yoán Moncada,1.4243436059599643,225.0
592518,11493,Manny Machado,1.4177563420808195,251.0
646240,17350,Rafael Devers,1.4112354704025634,251.0
643446,15362,Jeff McNeil,1.4000684881816907,212.0
518934,9874,DJ LeMahieu,1.3995124269017205,235.0
547180,11579,Bryce Harper,1.372040689483341,237.0
666182,19612,Bo Bichette,1.3608733465096483,199.0
624413,19251,Pete Alonso,1.3022184631633569,230.0
571970,13301,Max Muncy,1.29041631839273,194.0
670541,19556,Yordan Alvarez,1.287755547410407,210.0
607208,16252,Trea Turner,1.2877439063366056,235.0
621566,14344,Matt Olson,1.270806607549036,216.0
608369,13624,Corey Seager,1.26537618956977,206.0
621043,14162,Carlos Correa,1.263127240614296,173.0
553993,12552,Eugenio Suárez,1.255926859189159,234.0
519203,3473,Anthony Rizzo,1.249888726106741,227.0
624424,16376,Michael Conforto,1.235032292866775,224.0
596146,12144,Max Kepler,1.214170283474294,217.0
663656,18345,Kyle Tucker,1.2023664884339578,226.0
640457,15672,Austin Meadows,1.1998983673639614,207.0
657557,18015,Paul DeJong,1.1871321160539465,234.0
593871,13152,Jorge Polanco,1.1727621595293776,243.0
645302,18363,Victor Robles,1.1665244037197466,224.0
664901,18889,Danny Mendick,1.1440200293080989,409.0
595879,12979,Javier Báez,1.1356071361930484,218.0
650333,18568,Luis Arraez,1.1154199217657803,235.0
657656,17128,Ramón Laureano,1.10864840481778,187.0
