through_date,n_pitches,n_pitchers,oof_descriptive_r,oof_splithalf_r,n_rel_units
2026-07-01,377322,684,-0.2420,0.8768,1270
2026-07-01,377322,684,-0.2356,0.8777,1270
2026-07-01,377322,684,-0.2366,0.8748,1270
2026-07-02,380014,686,-0.2388,0.8844,1276
2026-07-02,380014,686,-0.2771,0.8666,1276
2026-07-02,380014,686,-0.2781,0.8655,1276
2026-07-03,383885,688,-0.2735,0.8628,1285
2026-07-02,380014,686,-0.2774,0.8646,1276
2026-07-03,383885,688,-0.2739,0.8624,1286
2026-07-02,380014,686,-0.2907,0.8566,1276
2026-07-03,383885,688,-0.2885,0.8564,1286
2026-07-02,380014,686,-0.2988,0.8587,1276
2026-07-04,388265,690,-0.2958,0.8570,1294
2026-07-05,393017,691,-0.2999,0.8570,1307
2026-07-05,393019,691,-0.2998,0.8581,1307
2026-07-06,395436,694,-0.3017,0.8572,1313
2026-07-02,380014,686,-0.3010,0.8588,1276
2026-07-06,395436,694,-0.3093,0.8603,1313
2026-07-07,400193,699,-0.3031,0.8598,1321
2026-07-08,404607,701,-0.3073,0.8659,1338
2026-07-09,408298,703,-0.3112,0.8662,1340
2026-07-10,412275,704,-0.3086,0.8636,1351
2026-07-11,416796,705,-0.3043,0.8633,1368
2026-07-11,416796,705,-0.3054,0.8661,1368
2026-07-12,421226,705,-0.3003,0.8655,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8770,1374
2026-07-12,421226,705,-0.3241,0.8772,1374
2026-07-12,421226,705,-0.3241,0.8772,1374
2026-07-12,421226,705,-0.3311,0.8741,1374
2026-07-12,421226,705,-0.3311,0.8743,1374
2026-07-12,421226,705,-0.3343,0.8708,1374
2026-07-12,421226,705,-0.3343,0.8710,1374
2026-07-12,421226,705,-0.3310,0.8706,1374
2026-07-12,421226,705,-0.3311,0.8706,1374
2026-07-12,421226,705,-0.3311,0.8706,1374
2026-07-12,421226,705,-0.3311,0.8706,1374
2026-07-12,421226,705,-0.3311,0.8706,1374
2026-07-12,421226,705,-0.3311,0.8706,1374
2026-07-12,421226,705,-0.3313,0.8707,1374
2026-07-16,421484,705,-0.3312,0.8708,1376
2026-07-17,425660,709,-0.3335,0.8709,1392
2026-07-16,421614,705,-0.3309,0.8708,1377
2026-07-17,425790,709,-0.3334,0.8709,1393
2026-07-17,425790,709,-0.3334,0.8709,1393
2026-07-17,425790,709,-0.3334,0.8709,1393
2026-07-17,425790,709,-0.3334,0.8709,1393
2026-07-18,430074,711,-0.3325,0.8726,1402
2026-07-18,430074,711,-0.3325,0.8726,1402
2026-07-19,434824,711,-0.3312,0.8729,1413
2026-07-19,434824,711,-0.3345,0.8714,1413
2026-07-19,434824,711,-0.3344,0.8714,1413
2026-07-19,434824,711,-0.3338,0.8716,1412
2026-07-19,434824,711,-0.3338,0.8716,1412
2026-07-20,439173,712,-0.3304,0.8709,1422
2026-07-21,442967,716,-0.3325,0.8720,1434
2026-07-22,447846,717,-0.3371,0.8747,1445
2026-07-22,447846,717,-0.3373,0.8747,1445
2026-07-23,449323,717,-0.3351,0.8748,1445
2026-07-23,449323,717,-0.3351,0.8748,1445
2026-07-24,453727,718,-0.3378,0.8750,1459
2026-07-24,453727,718,-0.3379,0.8750,1459
2026-07-24,453727,718,-0.3374,0.8748,1459
2026-07-25,457827,719,-0.3346,0.8743,1467
2026-07-26,462340,719,-0.3320,0.8758,1473
2026-07-27,465596,719,-0.3309,0.8755,1481
2026-07-27,465596,719,-0.3297,0.8765,1481
2026-07-27,465596,719,-0.3316,0.8754,1481
2026-07-28,470166,720,-0.3362,0.8775,1491
2026-07-28,470166,720,-0.3358,0.8776,1490
2026-07-29,474897,724,-0.3332,0.8787,1494
2026-07-30,477802,725,-0.3318,0.8788,1497
2026-07-31,482032,729,-0.3234,0.8802,1501
2026-07-31,482032,729,-0.3224,0.8805,1501
2026-08-02,490734,733,-0.3251,0.8813,1519
2026-08-02,490734,733,-0.3260,0.8814,1519
2026-08-02,490734,733,-0.3260,0.8814,1519
2026-08-02,490734,733,-0.3260,0.8814,1519
2026-08-03,493085,734,-0.3264,0.8814,1527
2026-08-03,493085,734,-0.3275,0.8814,1527
2026-08-03,493085,734,-0.3264,0.8814,1527
2026-08-04,497232,737,-0.3257,0.8811,1544
2026-08-05,501602,741,-0.3251,0.8815,1553
2026-08-05,501600,741,-0.3252,0.8814,1553
2026-08-06,505066,741,-0.3247,0.8816,1553
2026-08-07,509401,743,-0.3241,0.8824,1560
2026-08-08,513917,745,-0.3268,0.8809,1567
2026-08-08,513917,745,-0.2939,0.9680,1567
2026-08-08,513917,745,-0.2941,0.9679,1567
2026-08-09,518382,748,-0.2965,0.9682,1576
2026-08-10,521373,748,-0.2989,0.9683,1586
2026-08-10,521373,748,-0.2989,0.9683,1586
2026-08-11,525576,749,-0.2938,0.9683,1594
2026-08-11,525576,749,-0.2938,0.9683,1594
2026-08-11,525576,749,-0.2937,0.9683,1594
2026-08-12,530044,751,-0.2917,0.9695,1601
2026-08-12,530044,751,-0.2917,0.9695,1601
