Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",46,197,178,51,31,11,2,8,29,26,16,2,34,2,1,0,,11,3,0.288435,0.0828072,0.171621,0.482499,0.351272,0.498913,0.363661,0.850185,0.210478,6.74089,0.316706,0.499962,0.704084,31.059,7.52533,131.496,1.20405,2.78121,8.470520377159119,4.894639730453491,2.06899,3.0999999046325684,,,,,,,292.6,6.360869565,292.6,6.360869565,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Pete Crow-Armstrong","CHC",53,230,205,53,31,10,2,10,33,31,18,1,58,4,1,1,,12,3,0.259419,0.0775283,0.250289,0.309755,0.327884,0.47353,0.344932,0.801415,0.214111,7.43024,0.311834,0.361997,0.782502,32.6992,5.27331,119.074,1.1445,5.13687,6.476720333099365,5.957860887050629,2.01424,32.939998626708984,,,,,,,306.6,5.78490566,306.6,5.78490566,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Yordan Alvarez","HOU",48,205,172,52,29,10,0,12,32,32,29,6,36,3,1,0,,1,0,0.301011,0.140232,0.173181,0.809742,0.40664,0.575679,0.411911,0.982319,0.274668,2.48884,0.314454,-0.337398,-0.266667,40.3778,15.88,168.654,-0.604066,-0.0186814,15.884246170520782,-4.885347682982683,1.85876,33.38999938964844,,,,,,,358.9,7.477083333,358.9,7.477083333,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Julio Rodríguez","SEA",53,228,206,55,35,10,1,10,31,31,17,1,49,3,2,0,,8,2,0.268071,0.0730565,0.215019,0.339768,0.329756,0.463595,0.342517,0.793351,0.195525,5.14522,0.304974,0.160722,0.383374,32.0059,4.78622,126.529,0.544095,1.28791,7.6233842968940735,1.8990188837051392,1.79208,9.489999771118164,,,,,,,300.3,5.666037735,300.3,5.666037735,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Junior Caminero","TBR",55,236,212,58,34,10,0,14,33,39,21,2,44,1,2,0,,2,1,0.273725,0.0900857,0.186099,0.484074,0.341416,0.526168,0.368975,0.867584,0.252443,3.01443,0.281219,-0.0408236,-0.197802,38.2505,10.041,137.357,-0.238625,-1.55754,10.092696368694305,-0.9945781826972961,1.77924,16.479999542236328,,,,,,,340.4,6.189090909,340.4,6.189090909,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Elly De La Cruz","CIN",55,238,211,56,33,11,2,10,35,31,24,1,63,1,1,1,,13,4,0.265962,0.0990459,0.263638,0.375689,0.341531,0.475967,0.352236,0.817498,0.210005,7.30551,0.331948,0.642133,0.85987,35.2793,6.87388,117.386,1.502,0.604634,6.5357677936553955,2.887041389942169,1.73631,8.449999809265137,,,,,,,328.4,5.97090909,328.4,5.97090909,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Shohei Ohtani","LAD",53,227,191,53,28,9,2,14,40,36,32,6,54,2,2,1,,7,2,0.278838,0.140212,0.238473,0.587958,0.384334,0.565037,0.397613,0.94937,0.286198,6.06981,0.315245,0.0234352,0.353644,42.0869,14.9497,152.995,0.377079,0,15.035758316516876,-5.68641996383667,1.69394,1.2699999809265137,,,,,,,384.6,7.256603773,384.6,7.256603773,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"José Ramírez","CLE",52,223,196,52,31,12,1,9,31,30,24,5,28,1,2,0,,12,2,0.266866,0.106405,0.123234,0.86344,0.347658,0.471108,0.347279,0.818766,0.204242,5.87677,0.268908,0.000438258,1.08276,32.203,5.55034,124.395,1.0832,0.728093,7.457315444946289,1.050624281167984,1.67213,6.28000020980835,,,,,,,312.5,6.009615384,312.5,6.009615384,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Gunnar Henderson","BAL",53,228,202,52,31,10,2,9,32,28,22,1,50,3,1,0,,6,2,0.256063,0.0953923,0.217442,0.438702,0.334082,0.455785,0.342113,0.789866,0.199722,5.9293,0.295386,0.488197,0.224016,31.9309,4.71123,121.072,0.712214,-0.503865,6.335290908813477,1.9405790567398071,1.66588,12.510000228881836,,,,,,,295,5.566037735,295,5.566037735,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Kevin McGonigle","DET",53,228,197,52,34,11,1,6,31,24,28,0,32,1,1,1,,5,1,0.265611,0.122338,0.138418,0.883833,0.359109,0.424537,0.346172,0.783647,0.158927,5.18511,0.289381,0.154291,-0.0122409,32.6831,5.46335,122.166,0.14205,0.217789,6.056990325450897,2.135999321937561,1.65749,999,,,,,,,281.9,5.318867924,281.9,5.318867924,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"Francisco Lindor","NYM",53,231,204,52,32,9,1,9,32,29,21,0,42,4,1,0,,7,2,0.255309,0.0930503,0.180553,0.515363,0.335318,0.446058,0.340936,0.781376,0.190749,5.85326,0.278827,-0.153027,0.329288,32.0432,4.53997,117.89,0.176261,1.35405,5.191549703478813,3.654205083847046,1.65304,25.350000381469727,,,,,,,286.3,5.401886792,286.3,5.401886792,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Cal Raleigh","SEA",48,194,167,36,19,6,0,11,24,29,24,2,55,2,1,0,,2,1,0.214744,0.122296,0.285215,0.428785,0.315945,0.448069,0.329123,0.764014,0.233325,2.91026,0.244712,-0.38784,-0.132552,25.1394,1.96213,117.229,-0.520392,1.30539,3.3942647576332092,3.5121785402297974,1.59176,18.729999542236328,,,,,,,234.4,4.883333333,234.4,4.883333333,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Fernando Tatis Jr.","SDP",54,235,205,56,36,10,1,9,34,28,25,1,46,2,2,1,,11,3,0.273059,0.105688,0.197152,0.536076,0.355464,0.457698,0.353351,0.813163,0.18464,5.62002,0.312105,0.182802,0.525964,34.9925,6.98914,126.612,0.708766,2.08868,8.304786622524261,-0.3915693759918213,1.57241,14.010000228881836,,,,,,,321.4,5.951851851,321.4,5.951851851,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Wyatt Langford","TEX",49,213,187,49,29,10,1,9,30,28,22,1,47,2,1,0,,7,2,0.262326,0.104034,0.222143,0.468319,0.343763,0.472796,0.353451,0.816559,0.21047,5.70476,0.302416,0.161004,0.32089,31.7631,6.35801,128.905,0.481894,1.60898,7.6810914278030396,-0.5342285633087158,1.49638,37.75,,,,,,,286.4,5.844897959,286.4,5.844897959,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Ronald Acuña Jr.","ATL",51,220,184,50,32,9,1,9,37,26,32,1,47,3,1,1,,11,3,0.274414,0.145232,0.211465,0.686788,0.387342,0.481581,0.378253,0.868924,0.207167,6.04852,0.318417,0.3994,0.566826,37.2814,11.0103,139.101,0.966227,-1.38831,11.436558663845062,-4.093247890472412,1.467,5.260000228881836,,,,,,,329.9,6.46862745,329.9,6.46862745,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
