Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",4.30277,3.21792,3.96555,3.10035,11,11,0,0,,60.148,241.032,49.9669,22.31,20.72,6.28281,12.3195,0.142846,1.79938,69.5011,10.3995,1.84338,5.64153,0.940103,0.288348,0.0511117,0.2372366338968277,0.220203,1.03555,0.289052,0.747356,,,2.86086,1.88514,1.65736,7.019999980926514,,,,,,,338.2,5.636666666666667,320,5.333333333333333,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",4.12688,3.71269,4.9044,3.50017,11,11,0,0,,65.054,266.75,54.6571,27.13,25.3,7.63392,17.3519,0.153376,3.22697,75.4017,10.4316,2.40058,4.34543,1.05613,0.282668,0.0650494,0.21761848032474518,0.222029,1.10691,0.288246,0.731864,,,3.26612,1.77409,1.44283,9.649999618530273,,,,,,,329.6,5.070769230769231,311,4.7846153846153845,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",5.31828,2.4375,4.58358,3.17067,11,11,0,0,,63.668,259.033,57.5638,24.25,22.43,5.06422,14.6455,0.15392,2.10265,62.5344,8.83976,2.07027,4.26986,0.71587,0.241414,0.0565392,0.18487520515918732,0.237587,1.13415,0.300536,0.736483,,,2.96853,1.72674,1.71063,24.75,,,,,,,336.3,5.2546875,330,5.15625,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Dylan Cease","TOR",5.10936,2.97711,5.47724,3.54054,11,11,0,0,,68.354,282.901,51.6613,28.81,26.89,8.43516,28.1718,0.221264,2.06145,89.6897,11.8092,3.70931,3.18367,1.11064,0.317035,0.0995817,0.21745359897613525,0.204463,1.16794,0.279703,0.750076,,,3.41662,1.67581,1.42765,74.7699966430664,,,,,,,359.6000000000001,5.288235294117648,326,4.794117647058823,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Chris Sale","ATL",4.24624,2.84677,4.44125,3.65998,10,10,0,0,,58.82,243.314,51.3273,25.64,23.92,6.31048,15.5965,0.138939,3.65925,70.49,10.7856,2.38641,4.5196,0.965562,0.289708,0.0641004,0.22560783475637436,0.22908,1.13777,0.305701,0.710697,,,3.08972,1.59386,1.14677,39.36000061035156,,,,,,,310.20000000000005,5.257627118644068,297,5.033898305084746,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jesús Luzardo","PHI",5.15203,2.6361,4.81594,3.55057,11,11,0,0,,64.46,267.606,55.3202,27.44,25.43,6.61739,19.7811,0.167642,4.33568,72.1377,10.072,2.76187,3.6468,0.92393,0.269567,0.0739188,0.19564852863550186,0.227198,1.16508,0.295645,0.723929,,,3.32848,1.55661,1.37454,70.58999633789062,,,,,,,316.5,4.9453125,301,4.703125,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Jacob Misiorowski","MIL",3.85941,3.08741,3.9053,3.24,10,10,0,0,,56.25,229.916,39.8212,21.66,20.25,7.38391,20.4829,0.144225,3.75522,82.8392,13.2543,3.27727,4.04431,1.18143,0.360302,0.0890886,0.27121321856975555,0.193609,1.07207,0.280952,0.773398,,,3.16353,1.50881,1.38186,114.13999938964844,,,,,,,318.30000000000007,5.683928571428573,283,5.053571428571429,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Jacob deGrom","TEX",3.86488,3.05952,3.90659,3.37019,10,10,0,0,,56.08,223.974,43.7433,22.45,21,7.57551,14.2976,0.198416,0.664867,62.2619,9.9921,2.29455,4.35472,1.21576,0.277987,0.0638359,0.21415124833583832,0.209286,1.03497,0.259874,0.750306,,,3.44577,1.33498,1.38186,50.0099983215332,,,,,,,280.60000000000014,5.010714285714288,255,4.553571428571429,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Zack Wheeler","PHI",4.56946,2.45565,4.30719,3.67011,10,10,0,0,,58.02,238.9,47.9026,25.36,23.66,7.9417,18.128,0.130964,2.48363,63.7792,9.89336,2.81199,3.51828,1.23191,0.26697,0.075881,0.19108932465314865,0.219446,1.13807,0.272645,0.740647,,,3.75637,1.22114,1.18763,110.48999786376953,,,,,,,274.00000000000006,4.724137931034484,254,4.379310344827586,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Blake Snell","LAD",4.62274,1.66737,3.79665,3.55941,9,9,0,0,,51.885,214.403,41.2929,22.04,20.52,5.75941,19.8837,0.169639,1.19007,60.3969,10.4765,3.44903,3.03751,0.99903,0.281698,0.0927395,0.18895798921585083,0.213588,1.17908,0.27941,0.736849,,,3.44315,1.21381,1.10984,178.41000366210938,,,,,,,261.4,5.026923076923077,239,4.596153846153846,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
