mlbam,fangraphs,bbref,retro,last,first,birthYear
605152,13166,bradlje01,bradj002,Bradley,Jed,1990
110625,1000605,barrima01,barrm002,Barrios,Manuel,1974
118336,1008165,martifr01,martf102,Martin,Frank,1878
111603,1001500,brownby01,browb101,Browne,Byron,1942
113051,1002986,darinro01,darir101,Daringer,Rolla,1888
111880,1001836,caligfr01,calif101,Caligiuri,Fred,1918
115817,1116,hernali01,hernl003,Hernández,Liván,1975
818638,,kellywh01,kellw104,Kelly,W. H.,
117263,1007111,korchst01,korcs101,Korcheck,Steve,1932
122501,1012254,snydepo01,snydp101,Snyder,Pop,1854
122925,1012667,suckto01,suckt101,Suck,Tony,1858
117218,1007065,knudsma01,knudm001,Knudson,Mark,1960
594987,11209,sadleca02,sadlc002,Sadler,Casey,1990
115724,1005611,helfha01,helfh101,Helf,Hank,1913
219594,788,ohkato01,ohkat001,Ohka,Tomo,1976
121937,1011683,scottja01,scotj101,Scott,Jack,1892
117827,1007666,littlla01,littl101,Littleton,Larry,1954
680911,24655,milleow01,millo002,Miller,Owen,1996
117740,1007585,lewisma01,lewim001,Lewis,Mark,1969
407900,586,asencmi01,asenm001,Asencio,Miguel,1980
669242,19470,edmanto01,edmat001,Edman,Tommy,1995
123254,1012982,thomaki01,thomk101,Thomas,Kite,1923
430655,2221,vasqujo01,vasqj001,Vásquez,Jorge,1978
111361,1001329,bradyne01,bradn101,Brady,Neal,1897
121259,1011012,roachjo01,roacj101,Roach,John,1867
817576,,reynobi02,reynb103,Reynolds,Bill,1928
703231,29891,meekeja01,meekj001,Meeker,James,1995
660636,19906,castidi02,castd004,Castillo,Diego,1997
819385,,gilesge01,gileg101,Giles,George,1909
116963,1006793,kellybi02,kellb104,Kelly,Billy,1886
111391,1001352,brannmi01,branm102,Brannock,Mike,1851
110907,1000878,bergmal01,berga101,Bergman,Al,1889
115869,1005748,hessege01,hessg101,Hesselbacher,George,1895
119255,1009059,montaed01,monte101,Montague,Ed,1905
123267,1012964,thomabi01,thomb101,Thomas,Bill,1877
110478,1000461,bakerje02,bakej104,Baker,Jesse,1895
112952,1002888,currepe01,currp102,Curran,John,1852
123168,1012901,tebeapu01,tebep102,Tebeau,Pussy,1870
114307,1004225,fordto01,fordt101,Ford,Tom,1866
122469,1012096,smithbi04,smitb112,Smith,Bill,1934
123087,1012823,tannele01,tannl101,Tannehill,Lee,1880
112443,1002393,coffmsl01,coffs101,Coffman,George,1910
112040,1001992,carrido01,carrd104,Carrithers,Don,1949
121605,1011356,saboal01,saboa101,Sabo,Alex,1910
124589,1014267,woulfji01,woulj101,Woulfe,Jimmy,1859
115153,1005053,griffto01,grift102,Griffith,Tommy,1889
118729,1008547,mcgresl01,mcgrs101,McGrew,Slim,1899
113525,1003463,doyleje02,doylj101,Doyle,Jeff,1956
118394,1008214,maskrle01,maskl101,Maskrey,Leech,1854
