pitcher,team,pitch_type,rawmean,n,stuff_mean,support,low_support,atom_sum,atom_n
"Abbott, Andrew",CIN,CH,0.0025623064304844912,494,102.6,0.6991,False,50663.0,494
"Abbott, Andrew",CIN,CU,-0.00029160378003427413,335,92.5,0.7749,False,31001.0,335
"Abbott, Andrew",CIN,FC,0.00270297352391127,72,109.3,1.0198,False,7868.0,72
"Abbott, Andrew",CIN,FF,-0.005467369288609442,1143,91.1,0.5119,False,104100.0,1143
"Abbott, Andrew",CIN,ST,0.006886823943304034,514,96.8,0.7867,False,49731.0,514
"Abel, Mick",MIN,CH,0.002364059221041056,63,102.2,0.9689,False,6439.0,63
"Abel, Mick",MIN,CU,0.006029188211652495,42,105.9,0.88,False,4447.0,42
"Abel, Mick",MIN,FF,0.0029869914386425433,155,107.6,0.6033,False,16672.0,155
"Abel, Mick",MIN,SI,-0.00389522003242746,10,95.4,0.7633,False,954.0,10
"Abel, Mick",MIN,SL,0.0052775923553175135,48,98.7,0.9203,False,4739.0,48
"Abel, Mick",MIN,ST,0.01207482125550413,39,109.9,1.1637,False,4287.0,39
"Abner, Philip",ARI,CH,-0.01214173471984955,13,74.8,1.3356,False,972.0,13
"Abner, Philip",ARI,CU,-0.0006408012468455127,48,91.8,1.3135,False,4405.0,48
"Abner, Philip",ARI,FF,-0.006561120771284616,137,88.9,0.7925,False,12183.0,137
"Abner, Philip",ARI,ST,0.0031351134745451186,47,87.3,1.1826,False,4101.0,47
"Abreu, Bryan",HOU,CH,-0.011850060895085335,1,75.0,1.1084,False,75.0,1
"Abreu, Bryan",HOU,FC,-0.0012565534630084585,96,97.6,1.0205,False,9372.0,96
"Abreu, Bryan",HOU,FF,0.0013063810832038996,439,104.3,0.4855,False,45791.0,439
"Abreu, Bryan",HOU,SI,-0.002412430476397276,1,98.0,0.8063,False,98.0,1
"Abreu, Bryan",HOU,SL,0.01015847348730445,440,110.3,0.6679,False,48546.0,440
"Acton, Garrett",MIN,CH,0.0010572239116299897,2,99.5,1.3672,False,199.0,2
"Acton, Garrett",MIN,FF,0.001229997958494438,93,104.2,0.7163,False,9687.0,93
"Acton, Garrett",MIN,SL,0.0046680695263898704,77,97.3,1.02,False,7490.0,77
"Adam, Jason",SDP,CH,0.003251686908379013,177,103.9,0.6307,False,18385.0,177
"Adam, Jason",SDP,FF,-0.004118566862183618,121,93.7,0.5926,False,11340.0,121
"Adam, Jason",SDP,SL,0.0049898760036739985,200,98.1,0.6407,False,19616.0,200
"Adam, Jason",SDP,ST,0.004492937836115935,38,90.7,0.8638,False,3447.0,38
"Adams, Blake",COL,CU,-0.0033168907975777984,5,86.0,1.0573,False,430.0,5
"Adams, Blake",COL,FC,-0.0020864270585921724,14,95.1,1.0312,False,1332.0,14
"Adams, Blake",COL,FF,-0.010080888443293847,14,82.2,0.7434,False,1151.0,14
"Adams, Blake",COL,SI,-0.01105335890315473,4,82.2,0.9991,False,329.0,4
"Adams, Mason",COL,CH,-0.007383985907836177,7,83.9,1.485,False,587.0,7
"Adams, Mason",COL,CU,0.00016925745274357754,29,93.4,1.5657,False,2710.0,29
"Adams, Mason",COL,FC,-0.00574617728125304,10,84.5,1.2175,False,845.0,10
"Adams, Mason",COL,FF,-0.008395023681562938,48,85.4,0.9341,False,4098.0,48
"Adams, Mason",COL,SI,-0.005884133360996202,40,91.8,1.0976,False,3671.0,40
"Adams, Mason",COL,ST,0.005639210335599879,15,93.6,1.5092,False,1404.0,15
"Adams, Travis",MIN,CH,7.54631907977853e-05,201,97.8,0.9484,False,19664.0,201
"Adams, Travis",MIN,FC,-0.0007699339389373678,158,99.1,0.8706,False,15654.0,158
"Adams, Travis",MIN,FF,-0.0037843255231090702,192,94.4,0.6044,False,18118.0,192
